,support,itemsets
249,0.01,frozenset({'Viveka Babajee'})
250,0.02,frozenset({'Vrajesh Hirjee'})
251,0.01,frozenset({'Waheeda Rehman'})
252,0.01,frozenset({'Yash Pandit'})
253,0.02,frozenset({'Zulfi Sayed'})
254,0.01,"frozenset({'Ajay Chaudhary', 'Aabhas Yadav'})"
255,0.01,"frozenset({'Aqib Afzaal', 'Aabhas Yadav'})"
256,0.01,"frozenset({'Gayatri Patel Bahl', 'Aabhas Yadav'})"
257,0.01,"frozenset({'Aamir Khan', 'Gracy Singh'})"
258,0.01,"frozenset({'Aamir Khan', 'Kajol'})"
259,0.01,"frozenset({'Aamir Khan', 'Paul Blackthorne'})"
260,0.01,"frozenset({'Aamir Khan', 'Rachel Shelley'})"
261,0.01,"frozenset({'Aamir Khan', 'Rishi Kapoor'})"
262,0.01,"frozenset({'Aamir Khan', 'Tabu'})"
263,0.01,"frozenset({'Abbas', 'Ashutosh Rana'})"
264,0.01,"frozenset({'Om Puri', 'Abbas'})"
265,0.01,"frozenset({'Sharbani Mukherji', 'Abbas'})"
266,0.01,"frozenset({'Aishwarya Rai Bachchan', 'Abhishek Bachchan'})"
267,0.01,"frozenset({'Abhishek Bachchan', 'Akshay Kumar'})"
268,0.01,"frozenset({'Abhishek Bachchan', 'Anil Kapoor'})"
269,0.01,"frozenset({'Antara Mali', 'Abhishek Bachchan'})"
270,0.01,"frozenset({'Bobby Deol', 'Abhishek Bachchan'})"
271,0.01,"frozenset({'Fardeen Khan', 'Abhishek Bachchan'})"
272,0.01,"frozenset({'Abhishek Bachchan', 'Hrithik Roshan'})"
273,0.01,"frozenset({'Abhishek Bachchan', 'Johnny Lever'})"
274,0.01,"frozenset({'Kader Khan', 'Abhishek Bachchan'})"
275,0.01,"frozenset({'Kareena Kapoor', 'Abhishek Bachchan'})"
276,0.01,"frozenset({'Abhishek Bachchan', 'Karisma Kapoor'})"
277,0.01,"frozenset({'Abhishek Bachchan', 'Lara Dutta'})"
278,0.01,"frozenset({'Abhishek Bachchan', 'Madhavan'})"
279,0.01,"frozenset({'Abhishek Bachchan', 'Mithun Chakraborty'})"
280,0.01,"frozenset({'Abhishek Bachchan', 'Preity Zinta'})"
281,0.01,"frozenset({'Priya Badlani', 'Abhishek Bachchan'})"
282,0.01,"frozenset({'Abhishek Bachchan', 'Richa Pallod'})"
283,0.01,"frozenset({'Abhishek Bachchan', 'Ritesh Deshmukh'})"
284,0.01,"frozenset({'Abhishek Bachchan', 'Tanisha'})"
285,0.01,"frozenset({'Uday Chopra', 'Abhishek Bachchan'})"
286,0.01,"frozenset({'Abhishek Bachchan', 'Waheeda Rehman'})"
287,0.01,"frozenset({'Achint Kaur', 'Ehsan Khan'})"
288,0.01,"frozenset({'Achint Kaur', 'Lucky Ali'})"
289,0.01,"frozenset({'Achint Kaur', 'Simone Singh'})"
290,0.01,"frozenset({'Aditya Roy Kapoor', 'Deepika Padukone'})"
291,0.01,"frozenset({'Aditya Roy Kapoor', 'Kalki Koechlin'})"
292,0.01,"frozenset({'Aditya Roy Kapoor', 'Ranbir Kapoor'})"
293,0.01,"frozenset({'Aditya Roy Kapoor', 'Salil Acharya'})"
294,0.01,"frozenset({'Shaad Randhawa', 'Aditya Roy Kapoor'})"
295,0.01,"frozenset({'Shraddha Kapoor', 'Aditya Roy Kapoor'})"
296,0.02,"frozenset({'Ameesha Patel', 'Aftab Shivdasani'})"
297,0.01,"frozenset({'Aftab Shivdasani', 'Anang Desai'})"
298,0.01,"frozenset({'Anupam Kher', 'Aftab Shivdasani'})"
299,0.01,"frozenset({'Aftab Shivdasani', 'Anupama Verma'})"
300,0.01,"frozenset({'Asrani', 'Aftab Shivdasani'})"
301,0.01,"frozenset({'Dinesh Hingoo', 'Aftab Shivdasani'})"
302,0.01,"frozenset({'Gulshan Grover', 'Aftab Shivdasani'})"
303,0.01,"frozenset({'Aftab Shivdasani', 'Indraneel'})"
304,0.01,"frozenset({'Jackie Shroff', 'Aftab Shivdasani'})"
305,0.01,"frozenset({'Jaya Bhaduri', 'Aftab Shivdasani'})"
306,0.01,"frozenset({'Juliet Alburque', 'Aftab Shivdasani'})"
307,0.01,"frozenset({'Sanjay Kapoor', 'Aftab Shivdasani'})"
308,0.01,"frozenset({'Aftab Shivdasani', 'Shriya Saran'})"
309,0.01,"frozenset({'Smita Jaykar', 'Aftab Shivdasani'})"
310,0.01,"frozenset({'Aishwarya Rai Bachchan', 'Jackie Shroff'})"
311,0.01,"frozenset({'Aishwarya Rai Bachchan', 'Madhavan'})"
312,0.01,"frozenset({'Aishwarya Rai Bachchan', 'Madhuri Dixit'})"
313,0.01,"frozenset({'Aishwarya Rai Bachchan', 'Mithun Chakraborty'})"
314,0.01,"frozenset({'Aishwarya Rai Bachchan', 'Shah Rukh Khan'})"
315,0.01,"frozenset({'Ajay Chaudhary', 'Aqib Afzaal'})"
316,0.01,"frozenset({'Gayatri Patel Bahl', 'Ajay Chaudhary'})"
317,0.01,"frozenset({'Amrita Rao', 'Ajay Devgn'})"
318,0.01,"frozenset({'Anupam Kher', 'Ajay Devgn'})"
319,0.01,"frozenset({'Ayesha Takia', 'Ajay Devgn'})"
320,0.01,"frozenset({'Bipasha Basu', 'Ajay Devgn'})"
321,0.01,"frozenset({'Dilyana Bouklieva', 'Ajay Devgn'})"
322,0.01,"frozenset({'Esha Deol', 'Ajay Devgn'})"
323,0.01,"frozenset({'Farida Jalal', 'Ajay Devgn'})"
324,0.01,"frozenset({'Kamini Kaushal', 'Ajay Devgn'})"
325,0.01,"frozenset({'Om Puri', 'Ajay Devgn'})"
326,0.01,"frozenset({'Rani Mukerji', 'Ajay Devgn'})"
327,0.01,"frozenset({'Salman Khan', 'Ajay Devgn'})"
328,0.01,"frozenset({'Shahid Kapoor', 'Ajay Devgn'})"
329,0.01,"frozenset({'Sonali Bendre', 'Ajay Devgn'})"
330,0.01,"frozenset({'Sushmita Sen', 'Ajay Devgn'})"
331,0.01,"frozenset({'Vatsal Seth', 'Ajay Devgn'})"
332,0.01,"frozenset({'Akash Hora', 'Mann Hora'})"
333,0.01,"frozenset({'Akash Hora', 'Raja Hasan'})"
334,0.01,"frozenset({'Shona Chabra', 'Akash Hora'})"
335,0.01,"frozenset({'Akilesh Unnitan', 'Amrit Maghera'})"
336,0.01,"frozenset({'Saahil Prem', 'Akilesh Unnitan'})"
337,0.01,"frozenset({'Salah Benlemqawanssa', 'Akilesh Unnitan'})"
338,0.01,"frozenset({'Akshay Kapoor', 'Bhavna Pani'})"
339,0.01,"frozenset({'Rehan Khan', 'Akshay Kapoor'})"
340,0.01,"frozenset({'Vinod Khanna', 'Akshay Kapoor'})"
341,0.01,"frozenset({'Akshay Kumar', 'Amitabh Bachchan'})"
342,0.01,"frozenset({'Akshay Kumar', 'Anupam Kher'})"
343,0.01,"frozenset({'Kader Khan', 'Akshay Kumar'})"
344,0.01,"frozenset({'Akshay Kumar', 'Karisma Kapoor'})"
345,0.01,"frozenset({'Akshay Kumar', 'Lara Dutta'})"
346,0.01,"frozenset({'Akshay Kumar', 'Preity Zinta'})"
347,0.02,"frozenset({'Priyanka Chopra', 'Akshay Kumar'})"
348,0.01,"frozenset({'Rajeev Verma', 'Akshay Kumar'})"
349,0.01,"frozenset({'Salman Khan', 'Akshay Kumar'})"
350,0.01,"frozenset({'Akshay Kumar', 'Shefali Shetty'})"
351,0.01,"frozenset({'Akshaye Khanna', 'Ameesha Patel'})"
