Year,Title,Director,Cast,Genre
1922,Radha Vilas,Vishnupant Divekar,"V. Y. Datar, Soni",Mythology
1922,Raja Bhoj,,"Patience Cooper, Albertina",Legend
1922,Raja Parikshit a.k.a. Janmejaya's Serpent Sacrifice,Manilal Joshi,Miss Yakbal,Mythology
1922,Ramayana,Jyotish Bannerjee,"Patience Cooper, Master Bhagaban Das, Signorina F. Mannelli",Religious Epic
1922,Ratnavali a.k.a. The Lady From Lanka,Manilal Joshi,"Miss Yakbal, Elizer",Legend Mythology
1922,Ratnavali a.k.a. Ratnabali a.k.a. Sea Nymph Of Ceylon,"Jyotish Bannerjee, C. Legrand","Patience Cooper, Miss Gohar, Miss Albertina, C. Legrand, Pandit Tulsidutt Saida",Legend Mythology
1922,Sadhu Aur Shaitan,"Nitish Lahiri, Dhirendranath Ganguly","Dhirendranath Ganguly, Lina Valentine, Sushilabala, Manmatha Pal",Comedy
1922,Sant Namdev a.k.a. Saint Namdeo,Dadasaheb Phalke,,religious
1922,Sant Sakhubai,G. V. Sane,"Shanta Nalgunde, Visubhau Nirantar",religious
1922,Sati a.k.a. Kalighat a.k.a. Daksha Yagna a.k.a. Origin Of Mahakali Temple,,Patience Cooper,Mythology
1922,Sati Anjani a.k.a. Birth Of Hanuman,S. N. Patankar,"Tara Koregaonkar, C. C. Shah",Biopic religious
1922,Sati Toral,Kanjibhai Rathod,"Khalil, Sakina, Miss Moti, Gani Babu",religious
1922,Satya Narayan,V. S. Nirantar,"Anna Salunke, Shinde",
1922,Sharmista Devyani,,,Drama
1922,Shishupal Vadh a.k.a. The Killing Of Shishupal,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Sonabai, Sane",Mythology
1922,Shri Ganesh Janma a.k.a. Ganesh Avatar,G. V. Sane,"Bhaurao Datar, Madhav Malasure",
1922,Shri Markandeya Avtar a.k.a. Shiv Mahima a.k.a. Devotion's Reward,S. N. Patankar,"Damle, C. C. Shah, Baba Vyas",religious
1922,Shri Satya Narayan,Kanjibhai Rathod,"Khalil, Sakina, Miss Moti, R. N. Vaidya, Tara Gani Babu, Raja Babu",religious
1922,Sukanya Savitri,Kanjibhai Rathod,"Sakina, Miss Moti, Jamna",religious
1922,Suryakumari,Narayan Deware,"Khalil, Tara, Miss Moti, Raja Sandow",Costume
1922,Tara The Dancer a.k.a. Nartaki Tara,J. J. Madan,"Patience Cooper, Miss Chandra, Prabhodh Chandra Bose",Social
1922,Veer Abhimanyu,Manilal Joshi,"Sultana, Fatma Begum, Madanrai Vakil",Mythology
1922,Virat Parva,Vishnupant Divekar,"V. Y. Datar, Soni",Mythology
1923,Babruwahan,Dadasaheb Phalke,"Bhaurao Datar, Sakharam Jadhav, Dada Pendse",Mythology
1923,Bhakta Gora Kumbhar a.k.a. Gora Kumbhar The Devout,,,Devotional
1923,Bhakta Sudhanva,,,religious
1923,Buddha Dev a.k.a. Lord Buddha,Dadasaheb Phalke,"Bhaurao Datar, Dada Pendse, Charubai, Anna Salunke",Biopic Religious
1923,Champraj Hada,,,religious
1923,Chintamoni,Dhirendranath Ganguly,,religious
1923,Durvas Shaap a.k.a. Curse Of Durvas,S. N. Patankar,"Thatte, Tara Koregaonkar",Mythology
1923,Gayatri Mahatmya a.k.a. Venukumar,,,Mythology
1923,Guru Dronacharya a.k.a. Drona The Teacher,Dadasaheb Phalke,"Bhaurao Datar, Charubai, Dada Pendse",Mythology
1923,Guru Machindranath a.k.a. Streeyaraj a.k.a. The Kingdom Of Women,S. N. Patankar,Trymbakrao Pradhan,Mythology
1923,Goswami Tulsidas,Kanjibhai Rathod,,Biopic religious
1923,Janak Videhi a.k.a. King Janak,S. N. Patankar,,Mythology
1923,Jara Sandha Vadha,Dadasaheb Phalke,"Bhaurao Datar, Bachu Pawar, Ghanshyam Singh",Mythology
1923,Kamale Kamini a.k.a. Kamale Kamani a.k.a. Maid Of The Lotus,Sisir Kumar Bhaduri,"Sisir Kumar Bhaduri, Patience Cooper, Kusumkumari, Prabodh Bose, Tulsi Bannerjee, Rabindramohan Ray, Master E. Liguoro, Basantakumari, Akshoy Chakraborty, Nripen Bose",Mythology
1923,Khokha Babu a.k.a. Khokababu,Chittranjan R. Goswami,"Chittaranjan Goswami, Naresh Mitra, Nagendrabala",Social Drama
1923,Kirat Arjuna,Manilal Joshi,,Mythology Epic
1923,Krishna Arjuna Yuddha,,,Mythology
1923,Krishna Toola,,,Mythology
1923,Life Of Lord Buddha,,,Biopic Religious
1923,Maan Bhanjan a.k.a. Honour Retained a.k.a. All For Love,Naresh Mitra,"Durgadas Bannerjee, Naresh Mitra, Indu Mukherjee, Lila Debi, Sona Debi, Tinkari Chakraborty, Tulsi Bannerjee, Neelam Rani",Social Drama
1923,Mahananda a.k.a. Sati Mahananda,Dadasaheb Phalke,,religious
1923,Matri Sneha a.k.a. A Mother's Love,Jyotish Bannerjee,"Patience Cooper, Tulsi Bannerjee, Miss Kumud, Niroda Sundari, Sushila Sundari Jr., Kalidas Debi, Akshoy Chakraborty, Amar Choudhury, Prabhadevi, Edwin Mayer",Social Drama
1923,Matsya Varah Avtar,,,Mythology
1923,Maya Bazar,Baburao Painter,V. Shantaram,Mythology
