Year,Title,Director,Cast,Genre
1958,Kabhi Andhera Kabhi Ujala,C. P. Dixit,"Nutan, Kishore Kumar, Shekhar, Madan Puri, K. N. Singh, Chitra, Yakub, Lalita Pawar, Helen, Tun Tun",Crime Drama Romance
1958,Jailor,Sohrab Modi,"Sohrab Modi, Geeta Bali, Raaj Kumar, Kamini Kaushal, Abhi Bhattacharya, Daisy Irani, Nana Palsikar, Lillian",Social
1958,Kala Pani,Raj Khosla,"Dev Anand, Madhubala, Nalini Jaywant, Kishore Sahu, Nazir Hussain, Jayant, Johnny Walker, Krishan Dhawan, Jankidas",Crime Drama Romance
1958,Karigar,Vasant Joglekar,"Ashok Kumar, Nirupa Roy, Om Prakash, Lalita Pawar, Minu Mumtaz, Jagirdar, Helen",Social Family
1958,Khazanchi,P. N. Arora,"Balraj Sahni, Rajendra Kumar, Shyama, Chitra, Helen, Minu Mumtaz, Keshto Mukherjee, Rajan Haksar, Shammi",Family Social
1958,Khota Paisa,M. Sadiq,"Johnny Walker, Shyama, Amirbai Karnataki, N. A. Ansari, Jeevan, Cuckoo, Jeevankala",Social
1958,Lajwanti,Narendra Suri,"Nargis, Balraj Sahni, Prabhu Dayal,   Naaz, Radhakishen, Nazir Kashmiri, Leela Mishra, Mumtaz Begum",Family Social
1958,Lala Rookh,Akhtar Siraj,"Talat Mahmood, Shyama, Radhika, Vikram Kapoor, Tun Tun, Jagdish Kanwal",Legend Drama
1958,Light House,G. P. Sippy,"Ashok Kumar, Nutan, Johnny Walker, Nigar Sultana, Naazi",Suspense
1958,Madhumati,,"Dilip Kumar, Vyjayantimala, Johnny Walker, Pran, Jayant, Tiwari, Tarun Bose",Romance
1958,Maalik,S. M. Yusuf,"Talat Mahmood, Suraiya, Lalita Pawar, Prabhu Dayal, Tun Tun, Kumar, Mukri, Malika, Radhakishan, Badri Prasad, Jagdeep",Social Family Drama
1958,Matwala,M A Thirumugam,"Anjali Devi, Ranjan, M. K. Radha, E V Saroja",Action
1958,Maya Bazar,Babubhai Mistri,"Mahipal, Anita Guha, B. M. Vyas, Vasantrao Pahelwan",Mythology
1958,Mehndi,S.M. Yusuf,"Ajit, Jayshree, Veena, Kumar",
1958,Milan,Kedar Kapoor,"Ajit, Nalini Jaywant, Nishi, Daisy Irani, Helen, Tiwari, Rajendranath, Maruti, Jagdish Kanwal",Drama
1958,Miss 1958,Kuldip Kahar,"Suraiya, Karan Dewan, Om Prakash, Krishna Kumari, Madan Puri, Naaz",Social
1958,Mr. Q,K. Parvez,"Bhagwan, Amarnath, Heera Sawant, Tun Tun, Nazir Kashmiri",
1958,Mr. Qartoon M.A.,Ved Madan,"Daljeet, Shyama, Johnny Walker, Kumkum, Mehmood, Minu Mumtaz, Raj Mehra, Sheela Vaz",Comedy
1958,Mujrim,O. P. Ralhan,"Shammi Kapoor, Geeta Bali, Padmini, Ragini, Johnny Walker, Tun Tun, Shubha Khote, Kamal Kapoor, Murad",Crime Thriller
1958,Naag Champa,Vinod Desai,"Nirupa Roy, Manhar Desai, Lalita Pawar, Sapru, Kammo, Sunder, Maqbul",Fantasy
1958,Naya Kadam,S. P. Kalla,"Balraj Sahni, Bhagwan, Roopmala, Nazir Hussain, Lalita Pawar, Daisy Irani, Ruby Myers, Naaz, Agha, Sunder",Family Social
1958,Naya Paisa,Aspi Irani,"Johnny Walker, Chand Usmani, Krishna Kumari, Tun Tun, Manohar Deepak, Kanchanmala, Mumtaz Ali, Shammi",Social Drama
1958,Night Club,Naresh Saigal,"Ashok Kumar, Kamini Kaushal, Nishi, Mubarak, Helen, Iftekhar, Gope, Dhumal, Maruti",Action
1958,Panchayat,Lekhraj Bhakri,"Raaj Kumar, Shyama, Manoj Kumar, Jabeen, Daisy Irani, Kanhaiyalal, Kuldip Kaur, Pandari Bai, Nazir Hussain, Manorama, Leela Mishra, Sunder",Family Social Drama
1958,Parvarish,S. Bannerjee,"Raj Kapoor, Meena Kumari, Mehmood, Lalita Pawar, Nazir Hussain, Radhakishan, Brahm Bhardwaj, Sheela Vaz",Family Social
1958,Pati Parmeshwar,Manu Desai,"Nirupa Roy, Manhar Desai, Ajit, Sabita Chatterjee, Dulari, Rooplakshmi",Family Drama
1958,Phagun,Bibhuti Mitra,"Bharat Bhushan, Madhubala, Nishi, Mehmood, Kammo, Jeevan, Murad, Cuckoo",Social
1958,Phir Subah Hogi,Ramesh Sehgal,"Raj Kapoor, Mala Sinha, Rehman, Leela Chitnis, Tun Tun, Kamal Kapoor, Nana Palsikar, Mubarak, Jagdish Sethi",Social Crime
1958,Piya Milan,T. R. Raghunath,"Vyjayantimala, M. N. Rajan, Raja Ruby Myers, T. K. Ramachandran, Helen, Shree Ram",Romance Drama
1958,Police,Kalidas,"Madhubala, Pradeep Kumar, Nadira, Om Prakash, Dhumal",Action Romance
1958,Post Box 999,Ravindra Dave,"Sunil Dutt, Shakila, Purnima, Tiwari, Amarnath, Manorama, Nazir Kashmiri, Narmada Shankar",Action Suspense
1958,Raagini (1958 film),Rakhan,"Ashok Kumar, Kishore Kumar, Padmini, Jabeen, Nazir Hussain, Achala Sachdev, Iftekhar, Narmada Shankar",Romance Drama
1958,Raj Pratigya,Jaswant Zaveri,"Jairaj, Nirupa Roy, Sabita Chatterjee, B. M. Vyas, Praveen Paul, Sunder, Arvind",Action Costume
1958,Raj Sinhasan,Kundan Kumar,"Mahipal, Ameeta, Chandrashekhar, Shetty, W. M. Khan, Hiralal, Sunder, Kammo, Sheela Vaz, Kanchanmala",Romance Drama Costume
1958,Raj Tilak,S. S. Vasan,"Gemini Ganesan, Vyjayanthimala, Padmini, Pran, Lalita Pawar, Durga Khote, Manmohan Krishna, Shammi",Romance Drama Costume
1958,Ram Bhakta Vibishan,Samar Chatterjee,"Nirupa Roy, Shahu Modak, Krishna Kumari, Prem Adib, Bipin Gupta",religious
1958,Sachche Ka Bol Bala,Bhagwan,"Chandrashekhar, Kumkum, Bhagwan, Jeevankala, Shyam Kumar, Cuckoo",Action
1958,Sadhna,B. R. Chopra,"Vyjayantimala, Sunil Dutt, Leela Chitnis, Radhakishan, Manmohan Krishna",Social
1958,Sahara,Lekhraj Bhakri,"Meena Kumari, M. Rajan, Kuldip Kaur, Daisy Irani, Manoj Kumar, Kammo, Badri Prasad, Leela Mishra",Family Drama
1958,Sair-E-Paristan,A. M. Khan,"Kamran, Chitra, N. A. Ansari, Amarnath, Kanchanmala, Maqbul, Jagdish Kanwal",Fantasy
1958,Samrat Chandragupt,Babubhai Mistri,"Bharat Bhushan, Nirupa Roy, Krishna Kumari, B. M. Vyas, Ulhas, Anwar Hussain, Samar Roy",Historical Drama
1958,Sanskar,Chaturbhuj Doshi,"Anant Kumar, Ameeta, Jayshree Gadkar, Chand Usmani, Yakub, Leela Mishra, Badri Prasad, Kanu Roy, Raj Kishore, Indira Bansal",Social Family
1958,Savera,Satyen Bose,"Ashok Kumar, Meena Kumari, Bhagwan, Kammo, Bipin Gupta, Leela Mishra",Social
1958,Shan-E-Hatim,Nanubhai Vakil,"Daljeet, Chitra, Kanchanmala, Naazi, W. M. Khan, Tun Tun, Hiralal, Anwari",Fantasy
1958,Sim Sim Marjina,Narendra Dave,"Mahipal, Shakila, Tiwari, Hiralal, Kanchanmala, Helen, Maruti, Roopmala",Fantasy
1958,Sitamgar,T. Prakash Rao,"Shivaji Ganesan, Padmini, Ragini, Helen, M. K. Radha",
1958,Sitaron Se Aage,Satyen Bose,"Ashok Kumar, Vyjayanthimala, Johnny Walker, Manmohan Krishna, Leela Mishra, Jagdish Sethi, RajaRuby Myers, Shammi",Family
1958,Sohni Mahiwal,Raja Nawathe,"Bharat Bhushan, Nimmi, Om Prakash, Achala Sachdev, Kumar, Chand Burq, Mukri, Tun Tun",Legend Romance
1958,Solva Saal,Raj Khosla,"Dev Anand, Waheeda Rehman, Sunder, Tun Tun",Romance
1958,Son of Sinbad,Nanabhai Bhatt,"Premnath, Nishi, Purnima, Kuldip Kaur, Tiwari, Bhagwan, Shammi, Jagdish Sethi, Cuckoo",Fantasy
1958,Sone Ki Chidiya,Shaheed Lateef,"Balraj Sahni, Nutan, Talat Mehmood, Vikram Kapoor, Dhumal, Amar, Baij Sharma, Pratima Devi, Sarita Devi",Social Romance
1958,Suhag,B. R. Panthulu,"Shivaji Ganesan, Jamuna, T. R. Rajkumari, Gemini Ganesan, M.V. Rajamma",Action Drama Fantasy
1958,Sun To Le Hasina,S. P. Bakshi,"Ravindra Kapoor, Shashikala, Sabita Chatterjee, Agha, Badri Prasad, Kanu Roy, Gulab, Sunder",Social
1958,Suvarna Sundari,Vedantam Raghavaiah,"Nageshwara Rao, Anjali Devi, Shyama, Daisy Irani, B. Saroja Devi, Kumkum, Bipin Gupta, Dhumal, Sapru",Fantasy
1958,Talaq,Mahesh Kaul,"Rajendra Kumar, Kamini Kadam, Radhakrishan, Yashodra Katju, Sajjan",Family
1958,Taqdeer,A. S. Arora,"Karan Dewan, Shyama, Asha Mathur, Madan Puri, Helen, Tun Tun, Maqbul, Sheela Vaz",Family
1958,Taxi 555,Lekhraj Bhakri,"Pradeep Kumar, Shakila, Mahipal, Azra, Chand Usmani, Lalita Pawar, Leela Mishra, Nazir Kashmiri, Hiralal, Sunder, Maruti",Action
1958,Taxi Stand,Gajanan Jagirdar,"Chandrashekhar, Anita Guha, Om Parkash, K. N. Singh, Tun Tun, Majnu, Rajan Haksar, Kanchanmala",Action
1958,Ten O'Clock,Jugal Kishore,"Geeta Bali, Suresh, Yakub, Sheikh Mukhtar, Daisy Irani, Kanchanmala, Maruti",Action
1958,Teerth Yatra,B. K. Adarsh,"Mahipal, Jaymala, Nana Palsikar, Hiralal, Indira Bansal",religious
1958,Teesri Gali,Kundan Kumar,"Abhi Bhattacharya, Shyama, Prem Adib, Leela Mishra, Gope, Mohan Choti, Kammo",Action Crime Romance
1958,Trolley Driver,Gajanan Jagirdar,"Suraiya, Rehman, Usha Kiran, Bhagwan, Madan Puri, Gajanan Jagirdar, Cuckoo",Drama
1958,Virsa and the Magic Doll,Santi P. Choudhury,,Documentary
1958,Yahudi,,"Meena Kumari, Dilip Kumar, Sohrab Modi, Nasir Hussain, Anwar Hussain, Nigar Sultana",
1958,Zimbo,Homi Wadia,"Azad, Chitra, Krishna Kumari, Achala Sachdev, B. M. Vyas, Dalpat, Nilofar, Kanchanmala",Action Fantasy
1958,Zindagi Ya Toofan,Nakshab,"Pradeep Kumar, Nutan, Om Prakash, Yakub, Johnny Walker, Minu Mumtaz",Social Drama
1959,Aangan,O. P. Dutta,"Rehman, Ameeta, Chand Usmani, Leela Mishra, Badri Prasad",Family Drama
1959,Amar Shaheed,B. Ramakrishnaiah Panthulu,"Shivaji Ganeshan, Padmini, Gemini Ganeshan, Ragini",biopic Patriotic Drama
1959,Anari,Hrishikesh Mukherjee,"Raj Kapoor, Nutan, Lalita Pawar, Motilal, Shubha Khote",Social Romance
1959,Ardhangini,Ajit Chakrabarty,"Raaj Kumar, Meena Kumari, Agha, Durga Khote",Family Drama
1959,Baap Bete,Raja Paranjpe,"Ashok Kumar, Shyama, Chitra, Ramesh Deo, Jagdeep",Family Drama
1959,Baazigar,Nanabhai Bhatt,"Jairaj, Nirupa Roy, Sunder, Helen, Naaz, Tiwari",Action Costume Drama
1959,Bank Manager,Rakhan,"Kamini Kaushal, Shekhar, K. N. Singh, Radhakishan, Tun Tun",Social Family
1959,Barkha,"R. Krishnan, Panju","Nanda, Jagdeep, Shubha Khote, Anant Kumar, David, Ulhas",Social Family
1959,Bedard Zamana Kya Jaane,Babubhai Mistri,"Ashok Kumar, Nirupa Roy, Jabeen, Soodesh Kumar, Pran",Family Social
1959,Bhagwan Aur Shaitaan,Manmohan Sabir,"Sheila Ramani, P. Jairaj, Sunder, Achala Sachdev, Nazir Kashmiri",
1959,Bhai Bahen,G. P. Sippy,"Naaz, Rehman, Daisy Irani, Kamaljeet, Nishi, Johnny Walker, Shammi",Family Drama
1959,Black Cat,N. A. Ansari,"Balraj Sahni, Minu Mumtaz, Johnny Walker, N. A. Ansari, Shammi, Tuntun",Thriller Drama
1959,Blackmailer,Sultan,"Amarnath, Shanta Kumari, Kanchanmala, Johnny Whisky",Suspense Thriller
1959,Bus Conductor,Dwarka Khosla,"Premnath, Shyama, Amarnath, Surya Kumar, Sheela Vaz, Kanchanmala, Cuckoo",Social Action
1959,C.I.D. Girl,Ravindra Dave,"Geeta Bali, Balraj Sahni, Subiraj, Mohan Choti, Helen, Kanhaiyalal",Social Action Drama
1959,Chacha Zindabad,Om Prakash,"Kishore Kumar, Anita Guha, Om Prakash, Anoop Kumar, Manorama, Bhagwan, Tun Tun, Sunder",Family Comedy
1959,Chand,Lekhraj Bhakri,"Meena Kumari, Balraj Sahni, Manoj Kumar, Kuldip Kaur, Vijaya Choudhary, Helen, Sunder",Family Drama
1959,Chandrasena,Babubhai Mistri,"Mahipal, Krishna Kumari, B. M. Vyas, Kanchanmala, Sunder",Costume religious
1959,Char Dil Char Rahen,Khwaja Ahmad Abbas,"Raj Kapoor, Meena Kumari, Shammi Kapoor, Ajit, Nimmi, KumKum, David, Achala Sachdev, P. Jairaj",Social Drama Romance
1959,Charnon Ki Dasi,Ramesh Vyas,"Manhar Desai, Nirupa Roy, Jayshree Gadkar, Madan Puri, Amirbai Karnatki, Leela Mishra",Family Drama
1959,Chhoti Bahen,L. V. Prasad,"Nanda, Balraj Sahni, Rehman, Shyama",Family Drama
1959,Chini Jadugar,Noshir Engineer,"Ajit, Krishna Kumari, Kamran, Ruby Myers, Nazir Kashmiri",Action
1959,Chirag Kahan Roshni Kahan,Devendra Goel,"Rajendra Kumar, Meena Kumari, Honey Irani, Minu Mumtaz, Madan Puri",Family Drama
1959,Circus Queen,Noshir Engineer,"Nadia, John Cawas, Nilofar, Samar Roy",Action Thriller
1959,Commander,Kedar Kapoor,"Ranjan, Kumkum, Nigar Sultana, Kamal Kapoor, Helen, Tiwari",Action
1959,Daaka,Nanabhai Bhatt,"Ashok Kumar, Nirupa Roy, Smriti Biswas, Pran",Crime Drama
1959,Deep Jalta Rahe,Datta Dharmadhikari,"Abhi Bhattacharya, Sabita Chatterjee, Badri Prasad, Randhir",Drama
1959,Dhool Ka Phool,Yash Chopra,"Rajendra Kumar, Mala Sinha, Nanda, Manmohan Krishna, Jagdish Raj, Leela Chitnis",Social Family Drama
1959,Didi,N. Narayan Kale,"Sunil Dutt, Shubha Khote, Jayshree, Feroze Khan, Om Prakash, Daisy Irani",Family Drama
1959,Dil Deke Dekho,Nasir Hussain,"Shammi Kapoor, Asha Parekh, Rajendra Nath, Ruby Myers, Raj Mehra",Romance Musical
1959,Do Behnen,Kedar Kapoor,"Rajendra Kumar, Shyama, Jabeen, Radhakishen, Mumtaz, Leela Mishra, Chand Usmani, Padmini Priyadarshini",Family Drama
1959,Do Gunde,V. M. Vyas,"Raaj Kumar, Ajit, Pran, Kumkum, Jayshree Gadkar, Daisy Irani, Subiraj",Action
1959,Do Ustad,Tara Harish,"Madhubala, Raj Kapoor, Sheikh Mukhtar, Ruby Myers, Daisy Irani",Comedy Action
1959,Dr. Z,Jal,"Nirupa Roy, Mahipal, Shakila, Krishna Kumari, Helen, Hiralal",Action Thriller
1959,Duniya Na Mane,V. Avadhoot,"Mala Sinha, Pradeep Kumar, Sheikh Mukhtar, Ruby Myers, Daisy Irani, Minu Mumtaz, Helen",Social
1959,Ek Armaan Mera,Gunjal,"Jayshree Gadkar, Sohan Kapila, Malika, Sabita Chatterjee",Fantasy
1959,Fashionable Wife,B. K. Adarsh,"Abhi Bhattacharya, Jaymala, Anoop Kumar, Nazir Hussain, Radhakrishan, Manorama",Social
1959,Forty Days,Dwarka Khosla,"Premnath, Shakila, Nishi, K. N. Singh, Bhagwan, Cuckoo",Action Suspense
1959,Ghar Ghar Ki Baat,Ravindra Dave,"Suresh, Krishna Kumari",Family Drama
1959,Gokul Ka Chor,Vasant Painter,"Kumkum, Ratnamala, Mohan Choti, Hiralal, Ruby Myers",religious
1959,Goonj Uthi Shehnai,Vijay Bhatt,"Rajendra Kumar, Ameeta, Anita Guha, I. S. Johar, Manmohan Krishna, Ulhas, Prem Dhawan",Musical Romance Drama
1959,Grihalakshmi,Raman B. Desai,"Shahu Modak, Pandharibai, Nazir, Bipin Gupta, Lalita Pawar",Family Drama
1959,Guest House,Ravindra Dave,"Ajit, Shakila, Pran, Lalita Pawar, Lillian, Tiwari, Helen",Suspense Drama
1959,Heera Moti,Krishan Chopra,"Balraj Sahni, Nirupa Roy, Shubha Khote, Naaz, Helen",Family Social Drama
1959,Hero No.1,Sultan,"Kamran, Heera Sawant, Habib, Naazi, Tun Tun",Action
1959,Hum Bhi Insaan Hain,Robin Majumdar,"Abhi Bhattacharya, Samar Roy, Kumar, Lata Sinha, Lalita Kumari, Dhumal, Madhumati",Social
1959,Hunterwali,B. J. Patel,"John Cawas, Boman Shroff, Mehroo, Samar Roy",Action Costume
1959,Insan Jaag Utha,Shakti Samanta,"Sunil Dutt, Madhubala, Madan Puri, Nishi, Shyama, Minu Mumtaz, Bipin Gupta",Social
1959,Jaal Saaz,Arvind Sen,"Kishore Kumar, Mala Sinha, Pran, Shyama, Sabita Chatterjee, Nazir Hussain, Helen",Social Action
1959,Jagga Daku,Chandrakant,"Prithviraj Kapoor, P. Jairaj, Chandrashekhar, Dara Singh, Jabeen, Minu Mumtaz",Action
1959,Jagir,Jag Mohan Mattu,"Meena Kumari, Premnath, Kuldip Kaur, Mehmood, Minu Mumtaz, Ulhas, Sheela Vaz",Family Drama
1959,Jawani Ki Hawa,M. Sadiq,"Vyjayantimala, Pradeep Kumar, Shammi, Purnima, Helen",Social
1959,Jungle King,Masood,"Sheila Ramani, Anwar, Manju, Tun Tun, Pramila",Action Adventure
1959,Kaagaz Ke Phool,Guru Dutt,"Guru Dutt, Waheeda Rehman, Naaz, Johnny Walker, Veena, Mehmood, Tun Tun",Romance Social
1959,Kal Hamara Hai,S. K. Prabhakar,"Madhubala, Bharat Bhushan, Jayant, Hari Shivdasani",Social
1959,Kali Topi Lal Rumal,Tara Harish,"Chandrashekhar, Shakila, Agha, Mukri, K. N. Singh, Kumkum",Social
1959,Kangan,Nanabhai Bhatt,"Ashok Kumar, Nirupa Roy, Daisy Irani, Manhar Desai, Shammi, Bhagwan, Tiwari",Family Social
1959,Kanhaiya,Om Prakash,"Nutan, Raj Kapoor, Lalita Pawar, Om Prakash, Madan Puri, Pachhi",Social
1959,Kavi Kalidas,S. N. Tripathi,"Nirupa Roy, Bharat Bhushan, Anita Guha, Sapru, Tun Tun, S. N. Tripathi",religious
1959,Keechak Vadha,"Tara Harish, Yashwant Pethkar","Chandrashekhar, Shakeela, K. N. Singh, Agha, Mukri, Helen",mythology
1959,Khoobsurat Dhokha,Ram Prakash,"Ravindra Kapoor, Shashikala, Jayant, B. M. Vyas, Sunder",Action Adventure
1959,Kya Ye Bombay Hai,Nanubhai Vakil,"Nishi, Maruti, W. M. Khan, Tun Tun, Jeevankala, Lillian",Action
1959,Lady Robinhood,B. J. Patel,"Nilofar, Samar Roy, Rajan Kapoor, Shakila Bano Bhopali, Tun Tun, Mirajkar",Action
1959,Love Marriage,Subodh Mukherjee,"Dev Anand, Mala Sinha, Suresh, Pronoti, Kanchanmala",
1959,Maa Ke Aansoo,Dhirubhai Desai,"Ajit, Nalini Jaywant, Agha, Lalita Pawar, Cuckoo",Family
1959,Madam XYZ,Nanabhai Bhatt,"Suresh, Shakila, Pran, Nalini Chonker, David, Purnima",Suspense Action
1959,Madari,Babubhai Mistri,"Ranjan, Chitra, Jayshree Gadkar, Manhar Desai, Sunder, Sheela Vaz",Action Drama
1959,Madhu,"Gyan Mukherjee, S. Bannerjee","Karan Dewan, Meena Kumari, Kumkum, Tun Tun, Jagdish Sethi, Sheela Vaz",Social
1959,Main Nashe Mein Hoon,Naresh Saigal,"Raj Kapoor, Mala Sinha, Nishi, Nazir Hussain, Purnima, Dhumal, Helen",Social
1959,Maine Jeena Seekh Liya,Satish Nigam,"Ravinder Kapoor, Ameeta, Murad, Durga Khote, Agha, Sushil Kumar",Social Drama
1959,Minister,Raman B. Desai,"Sohrab Modi, Roopmala, Bhagwan, Om Prakash, Jeevan, Ruby Myers, Murad, Gopi Krishna",Social
1959,Mohar,P. Jairaj,"Shammi Kapoor, Geeta Bali, Kuldip Kaur, Minu Mumtaz, Lalita Pawar, Tiwari",Action Drama
1959,Mr. John,Inder,"Shyama, Johnny Walker, Helen, Mohan Choti, Iftekhar, Lalita Pawar",Comedy
1959,Naach Ghar,R. S. Tara,"Ashok Kumar, Anoop Kumar, Shubha Khote, Dhumal, Gopi Krishna, Iftekhar, Helen",Social Drama
1959,Nai Raahen,Brij Sadanah,"Ashok Kumar, Geeta Bali, Shubha Khote, Anoop Kumar, Madan Puri, Radhakishen, Nazir Hussain",
1959,Navrang,V. Shantaram,"Mahipal, Sandhya, Keshavrao Date, Vandana, Ulhas, Agha, Jeetendra",Social
1959,Naya Sansar,Nanabhai Bhatt,"Pradeep Kumar, Nanda, Jayshree Gadkar, Tun Tun, Dhumal, Sheela Vaz, Sunder, Shammi",Social
1959,O Tera Kya Kahna,K. Parvez,"Sheikh Mukhtar, Chitra, Mehmood, Bhagwan, Helen, Kammo",Comedy Social
1959,Paigham,S. S. Vasan,"Dilip Kumar, Vyjayantimala, Raaj Kumar, B. Saroja Devi, Motilal, Minu Mumtaz, Johnny Walker",Social Drama
1959,Pakshiraj,S. N. Tripathi,"Nirupa Roy, Manhar Desai, Ulhas, S. N. Tripathi",Mythology
1959,Pehli Raat,P. L. Santoshi,"Nimmi, Rehman, Nanda, Sohrab Modi, Soodesh Kumar, Johnny Walker, Jeevan, Lalita Pawar",Family Drama
1959,Pyar Ki Rahen,Lekhraj Bhakri,"Pradeep Kumar, Anita Guha, Pran, Kuldip Kaur, Helen, Om Prakash, Jeevan, Sunder, Tiwari",Family Social
1959,Qaidi No. 911,Aspi Irani,"Sheikh Mukhtar, Nanda, Mehmood, Daisy Irani, Honey Irani, Minu Mumtaz, Tun Tun, Achala Sachdev, Hiralal",Crime Social
1959,Raat Ke Rahi,Naseem,"Shammi Kapoor, Jabeen, Iftekhar, Nazir Hussain, Achala Sachdev, Anwar Hussain",Crime Drama Romance
1959,Sahil,Kulbhushan Agarwal,"Shammi Kapoor, Chitra, Kuldip Kaur, Murad, Sapru, Jankidas",Drama Romance
1959,Samrat Prithviraj Chauhan,Harsukh Bhatt,"Jairaj, Anita Guha, Prem Adib, Ulhas, Sapru, B. M. Vyas, Leela Mishra",Historical Epic
1959,Santan,Jyoti Swaroop,"Rajendra Kumar, Kamini Kadam, Nazir Hussain, David, Leela Mishra, Manorama",Family Social
1959,Sati Vaishalini,Sadhu Singh,"Trilok Kapoor, Krishna Kumari, Tiwari, Lalita Pawar, Kamal Kapoor, Ruby Myers",religious
1959,Satta Bazaar,Ravindra Dave,"Balraj Sahni, Meena Kumari, Suresh, Vijaya Choudhary, Johnny Walker, Tiwari, Asit Sen",Family Social
1959,Sawan,R. Riwari,"Bharat Bhushan, Ameeta, Achala Sachdev, Jeevan, Tiwari, Helen",Romance Musical
1959,Sazish,Surya Kumar,"Ranjan, Nalini Chonkar, B. M. Vyas, Randhir",Action Social
1959,School Master,B. R. Panthulu,"Karan Dewan, Shakila, B. Saroja Devi, Kamini Kadam, Jawahar Kaul, B. R. Panthalu",Social Family
1959,Shararat,H. S. Rawail,"Kishore Kumar, Raaj Kumar, Meena Kumari, Kumkum, Rajendra Nath, Sunder, Nazir Kashmiri",Comedy
1959,Sujata,Bimal Roy,"Nutan, Sunil Dutt, Shashikala, Ruby Myers, Lalita Pawar, Tarun Bose,   Farida",Social Family
1959,Swarg Se Sundar Desh Hamara,Pravin Kumar,"Raaj Kumar, Sarita, Kanhaiyalal",Social
1959,Tikdambaaz,Shriram Bohra,"Nigar Sultana, Mahipal, Tiwari, Rajan Kapoor, Lillian",
1959,Tipu Sultan,Jagdish Gautam,"Jairaj, Anita Guha, Suresh, Krishna Kumari, Roopmala, Nazir Kashmiri",Historical
1959,Ujala,Naresh Saigal,"Shammi Kapoor, Mala Sinha, Raaj Kumar, Kumkum, Leela Chitnis, Dhumal",Social Romance
1959,Zara Bachke,N. A. Ansari,"Suresh, Nanda, Johnny Walker, Murad, Sapru, Anwar Hussain, Tun Tun, Helen, Tony Walker, Nilofar",Action Drama
1960,36 Chaugali Lane,,,
1960,Aai Phirse Bahar,A. Bhimsingh,"Sivaji Ganesan, Padmini, Ragini, Raja Ruby Myers",Family Drama
1960,Aanchal,Vasant Joglekar,"Ashok Kumar, Nanda, Lalita Pawar, Nirupa Roy",Family Drama
1960,Abdulla,Aakkoo,"Shakila, Mahipal, Hiralal, Ajit, Helen",Fantasy Adventure
1960,Alam Ara Ki Beti,Nanubhai Vakil,"Daljeet, Naina, Shashikala, Tun Tun",Fantasy
1960,Airmail,B. J. Patel,"Ranjan, Malini, Mirajkar",Action
1960,Amar Prem,Ramanna,"Shivaji Ganesan, Savitri, B.M. Vyas",Drama
1960,Angulimal,Vijay Bhatt,"Nimmi, Bharat Bhushan, Anita Guha, Prem Adib, Ulhas, Achala Sachdev, Manmohan Krishna, Helen",Adventure Drama
1960,Anuradha,Hrishikesh Mukherjee,"Balraj Sahni, Leela Naidu, Abhi Bhattacharya, Ranu, Nazir Hussain, Mukri, Asit Sen, Bhudo Advani, Rashid Khan",Family Social
1960,Apna Ghar,Ram Pahwa,"Premnath, Shyama, Nanda, Moti Sagar, Leela Mishra, Kammo, Krishan Dhawan",Family Social
1960,Apna Haath Jagannath,Mohan Sehgal,"Kishore Kumar, Sayeeda, Nazir Hussain, Sabita Chatterjee, Leela Chitnis",Comedy Romance
1960,Babar,Hemen Gupta,"Shubha Khote, Ruby Myers Choudhury, Gajanan Jagirdar, Azra",Historical
1960,Bade Ghar Ki Bahu,Kundan Kumar,"Abhi Bhattacharya, Geeta Bali, Kuldeep Kaur, Sunder",Family Drama
1960,Bahaana,Kumar,"Meena Kumari, Sajjan, Anwar Hussain, Krishna Kumari, Kumar, Pramila, Azurie, Sheela Vaz",Social
1960,Bahadur Lutera,Kay Cee Kay,"Ram Mohan, Manju, Kamal Mehra, Radhika",Action Adventure
1960,Banjarin,Jaswant Zaveri,"Kanchan Kamini, Manhar Desai, Lalita Kumari",Drama Action
1960,Baraat,K. Amarnath,"Ajit, Shakila, Salim Khan, Mukri","Romance, Drama"
1960,Barood,Aspi Irani,"Sheikh Mukhtar, Kumkum, Sudhir, Honey Irani, Mukri, Veena, Tun Tun.",Social Drama
1960,Barsaat Ki Raat,P. L. Santoshi,"Bharat Bhushan, Madhubala, Shyama, Chandrashekhar, K.N. Singh",Musical Romance
1960,Basant (1960 film),Bibhuti Mitra,"Pran, Nutan, Shammi Kapoor, Minoo Mumtaz, Kammo, Murad, Johnny Walker, Cuckoo",Romance Drama
1960,Bewaqoof,I. S. Johar,"Pran, I. S. Johar, Mala Sinha, Kishore Kumar, Helen",Comedy Romance
1960,Bhakta Raj,V. M. Vyas,"Ruby Myers, Shahu Modak, Trilok Kapoor, Lalita Pawar, Dara Singh",religious
1960,Bhakti Mahima,K. Shankar,"A. Nageswara Rao, B. Saroja Devi, Jamuna, Gopi Krishna",religious
1960,Bindya,Krishnan-Panju,"Padmini, Balraj Sahni, Vijaya Choudhary, Minu Mumtaz, Lalita Pawar, Rajendra Nath, Om Prakash,",Family Drama
1960,Black Rider,Mehmood,"Kamran, Krishna Kumari, Nazma, Habib",Action
1960,Black Tiger,Akkoo,"Nadira, Azad, Habib, Nazma",Action
1960,Bombai Ka Babu,Raj Khosla,"Dev Anand, Suchitra Sen, Nazir Hussain, Achala Sachdev, Manohar Deepak",Crime Drama
